Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Socialdemokratiet;S;1;#cf1b42;03-04-1901;38.398;17,10%;14;12,39%;FALSK;FALSK;Peter Knudsen;
Venstrereformpartiet;VR;6;#1f4e79;03-04-1901;96.171;42,84%;75;66,37%;SAND;SAND;J.C. Christensen;
Moderate Venstre;MV;5;#127b7f;03-04-1901;23.753;10,58%;16;14,16%;FALSK;FALSK;Klaus Berntsen, Niels Neergaard;
Højre;H;3;#4c962f;03-04-1901;51.588;22,98%;8;7,08%;FALSK;FALSK;Emil Piper;
Nej-Stemmer;Nej;100;#000000;03-04-1901;8.268;3,68%;;;;;;
Uden for partierne;Uden;99;#a5a5a5;03-04-1901;6.333;2,82%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;16-06-1903;48.046;20,47%;16;14,16%;FALSK;FALSK;Peter Knudsen;
Venstrereformpartiet;VR;6;#1f4e79;16-06-1903;112.034;47,74%;72;63,72%;SAND;SAND;J.C. Christensen;
Moderate Venstre;MV;5;#127b7f;16-06-1903;17.167;7,32%;12;10,62%;FALSK;FALSK;Klaus Berntsen, Niels Neergaard;
Højre og de Frikonservative;H & FK;3;#4c962f;16-06-1903;47.286;20,15%;12;10,62%;FALSK;FALSK;Emil Piper;
Nej-Stemmer;Nej;100;#000000;16-06-1903;4.670;1,99%;;;;;;
Uden for partierne;Uden;99;#a5a5a5;16-06-1903;5.459;2,33%;1;0,88%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;29-04-1906;76.612;25,48%;24;21,24%;FALSK;FALSK;Peter Knudsen;
Det Radikale Venstre;RV;4;#7d329b;29-04-1906;38.398;12,77%;9;7,96%;FALSK;FALSK;Carl Theodor Zahle;
Venstrereformpartiet;VR;6;#1f4e79;29-04-1906;92.644;30,81%;55;48,67%;SAND;SAND;J.C. Christensen;
Moderate Venstre;MV;5;#127b7f;29-04-1906;20.487;6,81%;9;7,96%;FALSK;FALSK;Klaus Berntsen, Niels Neergaard;
Højre og de Frikonservative;H & FK;3;#4c962f;29-04-1906;63.335;21,06%;12;10,62%;FALSK;FALSK;;
Nej-Stemmer;Nej;100;#000000;29-04-1906;116;0,04%;;;;;;
Uden for partierne;Uden;99;#a5a5a5;29-04-1906;9.099;3,03%;4;3,54%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;25-05-1909;93.079;28,79%;24;21,24%;FALSK;FALSK;Peter Knudsen;
Det Radikale Venstre;RV;4;#7d329b;25-05-1909;50.305;15,56%;15;13,27%;FALSK;FALSK;Carl Theodor Zahle;
Venstrereformpartiet;VR;6;#1f4e79;25-05-1909;77.044;23,83%;36;31,86%;SAND;SAND;J.C. Christensen;Oprindeligt vandt reformvenstrepartiet stastministermagten, men måtte opgive den til fordel for en Radikale Venstre regering kort efter.
Moderate Venstre;MV;5;#127b7f;25-05-1909;19.241;5,95%;11;9,73%;FALSK;FALSK;Klaus Berntsen, Niels Neergaard;
Højre og de Frikonservative;H & FK;3;#4c962f;25-05-1909;64.189;19,86%;21;18,58%;FALSK;FALSK;Emil Piper;
Nej-Stemmer;Nej;100;#000000;25-05-1909;976;0,30%;;;;;;
